sentence#sentence_id#sentence_prefix#sentence_suffix_correct#sentence_suffix_random#text_title#cultural_space#periodized_language_with_regional_variant
за млт҃вѹ ст҃хъ ѡц҃ь наших г҃и їс҃е х҃е сн҃е бж҃їи помилѹи мѧ раба своего грѣш꙽наго афонасьѧ микитина сна#280440#за млт҃вѹ ст҃хъ ѡц҃ь наших г҃и їс҃е х҃е сн҃е бж҃їи помилѹи мѧ#раба своего грѣш꙽наго афонасьѧ микитина сна#съ#Afanasij Nikitin’s journey beyond three seas#Middle period Muscovy#Middle period Church Slavic, Eastern variant
се написах грѣшьное свое хоженїе за трї морѧ#280441#се написах грѣшьное свое хоженїе#за трї морѧ#то#Afanasij Nikitin’s journey beyond three seas#Middle period Muscovy#Middle period Church Slavic, Eastern variant
прьвое море дербеньское дорїѧ хвалитьскаа#280442#прьвое море дербеньское#дорїѧ хвалитьскаа#за млт҃вѹ ст҃хъ ѡц҃ь наших г҃и їс҃е х҃е сн҃е бж҃їи помилѹи мѧ#Afanasij Nikitin’s journey beyond three seas#Middle period Muscovy#Middle period Church Slavic, Eastern variant
второе море индѣнское гори гондꙋстаньскаа#280443#второе море индѣнское#гори гондꙋстаньскаа#за трї морѧ#Afanasij Nikitin’s journey beyond three seas#Middle period Muscovy#Middle period Church Slavic, Eastern variant
третье море черное дорїѧ стемъбольскаа#280444#третье море черное#дорїѧ стемъбольскаа#съ#Afanasij Nikitin’s journey beyond three seas#Middle period Muscovy#Middle period Church Slavic, Eastern variant
поидохъ ѿ ст҃го сп҃са златоверхаго съ его млстью ѿ великого кн҃ѧзѧ михаила борисовичѧ и ѿ влдкы генадїѧ твѣрьскых#280445#поидохъ ѿ ст҃го сп҃са златоверхаго съ его млстью ѿ великого кн҃ѧзѧ михаила#борисовичѧ и ѿ влдкы генадїѧ твѣрьскых#раба своего грѣш꙽наго афонасьѧ микитина сна#Afanasij Nikitin’s journey beyond three seas#Middle period Muscovy#Middle period Church Slavic, Eastern variant
поидох на низъ волгою и приидохъ в манастырь къ ст҃ѣи живоначалнои троци и ст҃мъ мчн҃комъ борисѹ н глѣбѹ#280446#поидох на низъ волгою и приидохъ в манастырь къ ст҃ѣи живоначалнои троци#и ст҃мъ мчн҃комъ борисѹ н глѣбѹ#съ#Afanasij Nikitin’s journey beyond three seas#Middle period Muscovy#Middle period Church Slavic, Eastern variant
и ѹ игѹмена сѧ блгсвивъ ѹ макарїѧ брати ис колѧзина поидох на ѹглечь#280447#и ѹ игѹмена сѧ блгсвивъ ѹ макарїѧ брати ис#колѧзина поидох на ѹглечь#раба своего грѣш꙽наго афонасьѧ микитина сна#Afanasij Nikitin’s journey beyond three seas#Middle period Muscovy#Middle period Church Slavic, Eastern variant
с ѹглеча на костромѹ ко кн҃ѧзю александрѹ с ыною грамотою#280448#с ѹглеча на костромѹ ко кн҃ѧзю александрѹ#с ыною грамотою#дорїѧ стемъбольскаа#Afanasij Nikitin’s journey beyond three seas#Middle period Muscovy#Middle period Church Slavic, Eastern variant
и кн҃ѧзь великї ѿпѹстилъ мѧ всеѧ рѹси доброволно#280449#и кн҃ѧзь великї ѿпѹстилъ мѧ#всеѧ рѹси доброволно#раба своего грѣш꙽наго афонасьѧ микитина сна#Afanasij Nikitin’s journey beyond three seas#Middle period Muscovy#Middle period Church Slavic, Eastern variant
и на плесо в новъгородъ нижнеи к михаилѹ къ киселевѹ к намѣстьникѹ и къ пошьлинникѹ иванѹ сараевѹ пропѹстили доброволно#280450#и на плесо в новъгородъ нижнеи к михаилѹ къ киселевѹ к намѣстьникѹ и#къ пошьлинникѹ иванѹ сараевѹ пропѹстили доброволно#с ѹглеча на костромѹ ко кн҃ѧзю александрѹ#Afanasij Nikitin’s journey beyond three seas#Middle period Muscovy#Middle period Church Slavic, Eastern variant
а василеи папин проехалъ городъ#280451#а василеи папин#проехалъ городъ#гори гондꙋстаньскаа#Afanasij Nikitin’s journey beyond three seas#Middle period Muscovy#Middle period Church Slavic, Eastern variant
а ꙗзъ ждалъ в новѣгородѣ двѣ недли посла татарьскаго ширвашина асамъ бѣга#280452#а ꙗзъ ждалъ в новѣгородѣ двѣ недли посла#татарьскаго ширвашина асамъ бѣга#и ѹ игѹмена сѧ блгсвивъ ѹ макарїѧ брати ис#Afanasij Nikitin’s journey beyond three seas#Middle period Muscovy#Middle period Church Slavic, Eastern variant
а ехал с кречаты ѿ великаго кн҃ѧзѧ ивана#280453#а ехал с кречаты ѿ#великаго кн҃ѧзѧ ивана#съ#Afanasij Nikitin’s journey beyond three seas#Middle period Muscovy#Middle period Church Slavic, Eastern variant
а кречатовъ ѹ него девѧносто#280454#а кречатовъ ѹ#него девѧносто#за трї морѧ#Afanasij Nikitin’s journey beyond three seas#Middle period Muscovy#Middle period Church Slavic, Eastern variant
и поехал есми с нимъ на низъ волгою#280455#и поехал есми с нимъ#на низъ волгою#а ехал с кречаты ѿ#Afanasij Nikitin’s journey beyond three seas#Middle period Muscovy#Middle period Church Slavic, Eastern variant
